year,month,day,0000,0300,0600,0900,1200,1500,1800,2100,Date_Number
2003,05,19,3,2,2,3,2,3,3,4,20030519
2003,05,20,3,3,3,3,3,2,3,3,20030520
2003,05,21,3,4,2,2,3,4,4,5,20030521
2003,05,22,5,5,4,3,4,4,3,2,20030522
2003,05,23,3,4,4,5,3,4,3,3,20030523
2003,05,24,3,5,5,3,4,3,4,3,20030524
2003,05,25,5,5,4,3,2,4,3,4,20030525
2003,05,26,4,3,4,3,3,3,3,4,20030526
2003,05,27,4,4,3,3,4,3,4,5,20030527
2003,05,28,6,5,5,5,4,4,4,4,20030528
2003,05,29,5,4,4,3,6,7,8,8,20030529
2003,05,30,8,4,4,3,4,5,4,5,20030530
2003,05,31,5,5,3,1,3,3,2,2,20030531
2003,06,01,3,3,3,2,3,3,4,4,20030601
2003,06,02,5,4,6,6,4,4,3,4,20030602
2003,06,03,4,3,4,4,4,4,4,5,20030603
2003,06,04,4,3,3,4,4,4,4,3,20030604
2003,06,05,3,3,3,3,3,3,3,2,20030605
2003,06,06,3,2,3,3,3,3,3,3,20030606
2003,06,07,4,4,4,4,4,4,4,5,20030607
2003,06,08,4,5,4,3,3,4,4,4,20030608
2003,06,09,3,4,4,4,3,3,4,6,20030609
2003,06,10,4,3,6,4,4,4,4,3,20030610
2003,06,11,3,3,4,3,3,3,3,3,20030611
2003,06,12,2,2,3,2,3,3,3,3,20030612
2003,06,13,3,2,1,2,2,3,4,4,20030613
2003,06,14,3,4,5,5,4,5,5,4,20030614
2003,06,15,4,5,3,3,3,3,4,3,20030615
2003,06,16,4,5,2,5,4,3,5,6,20030616
2003,06,17,5,6,6,6,4,4,4,4,20030617
2003,06,18,5,6,7,6,4,4,4,4,20030618
2003,06,19,5,4,4,3,3,3,3,2,20030619
2003,06,20,3,2,3,3,3,3,3,3,20030620
2003,06,21,4,4,5,3,3,4,3,3,20030621
2003,06,22,3,3,4,3,3,3,3,3,20030622
2003,06,23,4,5,4,4,3,3,3,3,20030623
2003,06,24,4,5,5,5,5,3,3,3,20030624
2003,06,25,3,3,4,3,3,4,4,4,20030625
2003,06,26,4,3,4,4,4,3,3,3,20030626
2003,06,27,4,4,6,4,4,4,4,3,20030627
2003,06,28,3,5,3,6,5,4,4,4,20030628
2003,06,29,4,3,5,5,4,3,4,4,20030629
2003,06,30,4,4,5,4,3,3,3,3,20030630
2003,07,01,3,4,3,2,3,3,3,3,20030701
2003,07,02,1,3,3,4,3,3,4,3,20030702
2003,07,03,3,3,2,3,3,4,4,4,20030703
2003,07,04,4,5,3,5,4,4,3,4,20030704
2003,07,05,4,3,4,3,3,3,3,3,20030705
2003,07,06,3,3,2,3,3,3,3,3,20030706
2003,07,07,3,3,4,3,3,2,2,2,20030707
2003,07,08,1,1,1,1,2,2,3,2,20030708
2003,07,09,2,2,1,2,2,2,2,2,20030709
2003,07,10,2,2,2,2,3,2,3,3,20030710
2003,07,11,3,5,6,5,5,4,5,5,20030711
2003,07,12,6,7,6,4,3,3,4,3,20030712
2003,07,13,3,3,4,3,3,3,2,3,20030713
2003,07,14,3,3,4,2,3,3,3,4,20030714
2003,07,15,5,5,3,5,3,3,4,4,20030715
2003,07,16,4,5,6,6,6,4,4,5,20030716
2003,07,17,5,4,3,3,3,3,4,4,20030717
2003,07,18,3,3,2,2,2,3,3,4,20030718
2003,07,19,4,3,3,4,4,4,4,5,20030719
2003,07,20,5,4,4,3,3,3,3,3,20030720
2003,07,21,4,4,2,1,2,2,3,2,20030721
2003,07,22,3,1,2,3,2,2,3,2,20030722
2003,07,23,2,2,2,3,2,3,3,4,20030723
2003,07,24,3,2,1,0,2,3,3,4,20030724
2003,07,25,2,2,4,3,2,3,3,2,20030725
2003,07,26,3,3,3,3,4,5,5,5,20030726
2003,07,27,5,4,5,4,3,3,3,2,20030727
2003,07,28,2,2,3,4,5,4,3,3,20030728
2003,07,29,4,5,4,4,5,5,5,5,20030729
2003,07,30,4,4,5,5,4,4,4,4,20030730
2003,07,31,4,5,4,5,4,4,3,4,20030731
2003,08,01,5,5,5,5,5,3,3,5,20030801
2003,08,02,4,4,4,3,3,3,4,4,20030802
2003,08,03,3,4,3,3,3,3,3,3,20030803
2003,08,04,2,2,4,4,1,2,4,4,20030804
2003,08,05,3,2,1,1,2,3,3,3,20030805
2003,08,06,6,6,7,5,4,3,3,2,20030806
2003,08,07,2,2,1,2,3,4,5,4,20030807
2003,08,08,5,5,5,4,3,4,3,3,20030808
2003,08,09,3,3,4,4,3,3,3,3,20030809
2003,08,10,4,3,2,3,2,2,3,2,20030810
2003,08,11,2,2,2,2,2,2,3,4,20030811
2003,08,12,4,5,5,4,3,4,3,3,20030812
2003,08,13,3,5,3,2,3,2,4,3,20030813
2003,08,14,3,4,4,2,3,3,4,4,20030814
2003,08,15,3,2,3,2,3,4,4,3,20030815
2003,08,16,3,3,2,3,3,3,3,2,20030816
2003,08,17,2,1,0,1,4,4,4,5,20030817
2003,08,18,5,6,8,7,6,6,5,5,20030818
2003,08,19,6,4,3,3,2,3,3,3,20030819
2003,08,20,2,3,4,2,3,3,3,4,20030820
2003,08,21,4,5,7,5,6,5,5,5,20030821
2003,08,22,5,5,5,5,6,5,4,3,20030822
2003,08,23,4,5,7,5,5,3,4,4,20030823
2003,08,24,3,4,5,5,4,3,4,3,20030824
2003,08,25,4,4,5,3,3,3,3,3,20030825
2003,08,26,3,2,1,4,3,4,3,3,20030826
2003,08,27,2,2,3,4,3,3,3,3,20030827
2003,08,28,3,4,4,4,3,3,3,3,20030828
2003,08,29,1,2,2,4,3,4,4,3,20030829
2003,08,30,4,5,3,3,3,3,3,2,20030830
2003,08,31,2,2,2,2,3,2,2,2,20030831
2003,09,01,2,4,4,1,2,3,3,3,20030901
2003,09,02,3,2,1,2,4,3,3,3,20030902
2003,09,03,3,3,3,4,3,3,3,4,20030903
2003,09,04,3,3,4,4,3,3,3,4,20030904
2003,09,05,3,4,3,4,4,3,3,2,20030905
2003,09,06,3,2,3,3,3,3,3,2,20030906
2003,09,07,3,3,1,2,3,3,3,3,20030907
2003,09,08,2,1,2,2,3,3,3,3,20030908
2003,09,09,2,2,3,4,4,3,4,4,20030909
2003,09,10,4,2,3,4,3,3,4,3,20030910
2003,09,11,4,5,2,3,3,3,3,3,20030911
2003,09,12,3,3,3,3,3,3,2,2,20030912
2003,09,13,3,3,3,3,2,2,2,2,20030913
2003,09,14,2,1,2,2,2,3,2,2,20030914
2003,09,15,2,1,1,2,2,2,2,3,20030915
2003,09,16,4,3,5,5,6,5,4,2,20030916
2003,09,17,5,5,5,7,7,4,4,5,20030917
2003,09,18,4,6,5,6,4,4,4,5,20030918
2003,09,19,4,4,5,5,5,4,4,3,20030919
2003,09,20,4,4,5,4,4,4,3,2,20030920
2003,09,21,4,3,4,4,5,4,3,3,20030921
2003,09,22,3,4,4,4,4,3,4,2,20030922
2003,09,23,3,4,3,3,3,3,4,3,20030923
2003,09,24,5,5,5,4,4,4,4,4,20030924
2003,09,25,4,4,5,5,4,4,4,3,20030925
2003,09,26,3,3,4,4,3,3,3,3,20030926
2003,09,27,3,2,2,3,2,2,2,2,20030927
2003,09,28,2,1,2,3,2,2,2,1,20030928
2003,09,29,2,2,1,3,3,2,2,1,20030929
2003,09,30,2,2,2,3,3,2,2,2,20030930
2003,10,01,3,2,2,3,2,2,3,3,20031001
2003,10,02,2,3,2,2,2,3,3,3,20031002
2003,10,03,3,5,3,3,3,3,3,2,20031003
2003,10,04,1,2,4,2,3,2,2,2,20031004
2003,10,05,2,2,1,2,2,3,3,4,20031005
2003,10,06,2,2,2,2,3,3,3,3,20031006
2003,10,07,4,2,2,3,3,3,3,3,20031007
2003,10,08,2,2,2,2,3,3,3,3,20031008
2003,10,09,4,2,2,2,2,2,2,2,20031009
2003,10,10,2,1,1,2,2,2,1,2,20031010
2003,10,11,2,1,2,1,2,2,1,2,20031011
2003,10,12,1,2,1,3,2,2,2,2,20031012
2003,10,13,3,2,2,2,3,3,3,4,20031013
2003,10,14,3,4,6,6,6,4,5,6,20031014
2003,10,15,3,4,7,6,4,4,4,4,20031015
2003,10,16,5,3,4,5,4,4,4,4,20031016
2003,10,17,4,5,5,5,4,3,3,3,20031017
2003,10,18,4,5,4,4,4,3,4,4,20031018
2003,10,19,3,4,5,5,5,4,4,4,20031019
2003,10,20,3,4,5,5,4,4,4,5,20031020
2003,10,21,5,5,5,5,5,4,4,5,20031021
2003,10,22,4,5,6,5,4,4,3,2,20031022
2003,10,23,3,2,2,2,2,2,2,2,20031023
2003,10,24,2,2,2,4,5,7,4,5,20031024
2003,10,25,3,3,2,2,4,4,3,3,20031025
2003,10,26,2,2,2,3,2,3,3,3,20031026
2003,10,27,3,3,4,3,2,3,3,1,20031027
2003,10,28,3,4,4,4,3,4,3,4,20031028
2003,10,29,4,3,9,8,7,7,9,8,20031029
2003,10,30,8,7,6,5,5,8,9,9,20031030
2003,10,31,8,7,7,6,6,5,4,4,20031031
2003,11,01,4,5,4,3,3,3,3,3,20031101
2003,11,02,3,4,3,3,3,4,4,3,20031102
2003,11,03,3,3,2,3,2,3,2,3,20031103
2003,11,04,3,2,5,7,3,3,4,3,20031104
2003,11,05,2,1,2,2,2,3,3,3,20031105
2003,11,06,2,2,2,2,3,3,5,4,20031106
2003,11,07,3,2,1,2,3,3,2,2,20031107
2003,11,08,1,1,1,3,3,3,3,3,20031108
2003,11,09,2,3,4,4,6,4,4,3,20031109
2003,11,10,4,4,4,5,5,4,4,4,20031110
2003,11,11,5,6,5,6,5,5,5,4,20031111
2003,11,12,4,4,4,5,4,4,4,3,20031112
2003,11,13,3,5,4,5,6,5,5,4,20031113
2003,11,14,5,5,5,5,5,3,4,3,20031114
2003,11,15,3,4,6,5,5,5,4,4,20031115
2003,11,16,4,5,5,5,4,5,4,4,20031116
2003,11,17,5,4,4,5,5,5,4,4,20031117
2003,11,18,4,4,4,4,4,4,3,2,20031118
2003,11,19,2,3,4,4,3,3,3,2,20031119
2003,11,20,1,3,6,7,7,8,9,7,20031120
2003,11,21,7,6,6,4,3,3,3,2,20031121
2003,11,22,3,3,3,3,3,5,5,4,20031122
2003,11,23,3,5,4,3,3,3,4,4,20031123
2003,11,24,2,2,3,2,4,3,3,3,20031124
2003,11,25,3,3,3,3,3,3,3,2,20031125
2003,11,26,2,2,2,2,3,3,3,2,20031126
2003,11,27,2,2,2,2,3,3,3,3,20031127
2003,11,28,2,2,2,3,3,3,2,2,20031128
2003,11,29,2,2,2,3,3,3,2,2,20031129
2003,11,30,2,2,2,2,3,3,3,2,20031130
2003,12,01,2,3,3,3,3,3,2,2,20031201
2003,12,02,3,2,3,2,3,2,3,1,20031202
2003,12,03,1,2,2,2,2,3,2,2,20031203
2003,12,04,2,1,2,3,3,3,3,3,20031204
2003,12,05,2,5,6,5,5,5,4,4,20031205
2003,12,06,4,4,4,4,3,4,4,3,20031206
2003,12,07,2,2,3,3,3,4,4,3,20031207
2003,12,08,2,5,5,6,6,5,4,4,20031208
2003,12,09,3,4,5,5,5,5,4,4,20031209
2003,12,10,5,4,5,6,5,5,5,4,20031210
2003,12,11,5,5,6,5,4,5,3,4,20031211
2003,12,12,4,4,4,3,4,3,4,5,20031212
2003,12,13,5,4,4,4,5,5,4,3,20031213
2003,12,14,4,3,3,4,4,5,4,4,20031214
2003,12,15,4,4,4,5,4,4,3,3,20031215
2003,12,16,3,3,3,3,3,3,3,2,20031216
2003,12,17,2,3,3,3,3,3,3,1,20031217
2003,12,18,1,3,2,3,3,3,2,1,20031218
2003,12,19,2,1,1,2,3,3,2,2,20031219
2003,12,20,1,2,2,4,3,4,4,4,20031220
2003,12,21,4,3,4,4,3,4,4,3,20031221
2003,12,22,3,3,3,4,3,3,3,2,20031222
2003,12,23,2,2,1,3,3,3,3,2,20031223
2003,12,24,1,2,2,2,3,3,3,2,20031224
2003,12,25,2,1,1,2,2,3,2,2,20031225
2003,12,26,2,2,2,3,3,3,2,3,20031226
2003,12,27,3,3,2,3,3,3,3,4,20031227
2003,12,28,3,3,2,3,3,3,3,2,20031228
2003,12,29,1,1,2,3,2,2,2,1,20031229
2003,12,30,2,1,3,2,2,3,3,2,20031230
2003,12,31,3,2,2,3,4,5,4,3,20031231
2004,01,01,3,4,5,5,5,4,3,3,20040101
2004,01,02,3,2,2,2,3,4,3,3,20040102
2004,01,03,2,3,5,5,4,4,4,3,20040103
2004,01,04,3,3,4,4,4,4,4,3,20040104
2004,01,05,4,3,3,3,4,4,4,4,20040105
2004,01,06,3,3,4,3,3,3,3,5,20040106
2004,01,07,3,4,5,5,5,5,4,3,20040107
2004,01,08,2,1,1,3,3,3,2,3,20040108
2004,01,09,2,3,5,4,3,4,3,3,20040109
2004,01,10,3,5,5,4,3,3,4,2,20040110
2004,01,11,2,2,3,4,4,4,4,2,20040111
2004,01,12,2,2,1,2,3,3,3,3,20040112
2004,01,13,3,3,3,2,4,4,4,3,20040113
2004,01,14,3,3,2,3,3,3,2,2,20040114
2004,01,15,2,3,2,2,4,4,4,3,20040115
2004,01,16,4,4,3,5,4,4,5,4,20040116
2004,01,17,3,2,3,4,3,3,3,3,20040117
2004,01,18,2,4,4,3,3,3,4,4,20040118
2004,01,19,3,2,3,4,4,4,3,3,20040119
2004,01,20,3,3,3,2,4,4,3,3,20040120
2004,01,21,2,2,4,3,4,3,3,2,20040121
2004,01,22,5,5,6,7,7,4,5,4,20040122
2004,01,23,4,5,4,5,5,5,5,3,20040123
2004,01,24,4,2,2,4,3,3,3,3,20040124
2004,01,25,5,5,5,4,4,4,3,3,20040125
2004,01,26,3,1,4,3,4,4,4,3,20040126
2004,01,27,3,4,2,3,3,3,3,3,20040127
2004,01,28,5,4,4,3,3,3,3,2,20040128
2004,01,29,1,2,2,4,4,3,2,2,20040129
2004,01,30,2,3,3,5,4,3,3,3,20040130
2004,01,31,2,1,3,5,3,1,2,1,20040131
2004,02,01,2,3,2,2,3,3,3,3,20040201
2004,02,02,2,1,5,4,4,4,3,3,20040202
2004,02,03,4,3,4,3,3,3,3,2,20040203
2004,02,04,3,2,3,3,4,3,3,3,20040204
2004,02,05,3,3,3,4,3,3,3,2,20040205
2004,02,06,2,5,4,4,3,4,4,2,20040206
2004,02,07,2,2,3,3,3,3,2,0,20040207
2004,02,08,1,1,1,2,3,3,2,3,20040208
2004,02,09,2,1,1,2,3,3,3,2,20040209
2004,02,10,2,2,2,3,3,3,2,1,20040210
2004,02,11,2,1,1,4,5,6,5,2,20040211
2004,02,12,3,4,5,5,4,4,4,3,20040212
2004,02,13,4,4,4,4,4,3,3,3,20040213
2004,02,14,3,3,3,4,4,4,4,3,20040214
2004,02,15,4,4,3,5,3,3,3,2,20040215
2004,02,16,3,1,1,3,3,2,2,1,20040216
2004,02,17,2,2,1,2,2,1,1,2,20040217
2004,02,18,2,2,1,2,2,3,3,2,20040218
2004,02,19,2,1,1,1,2,3,2,1,20040219
2004,02,20,1,1,1,1,2,1,2,1,20040220
2004,02,21,2,1,1,2,3,3,2,2,20040221
2004,02,22,2,1,1,2,3,3,2,2,20040222
2004,02,23,2,1,2,2,3,3,3,2,20040223
2004,02,24,3,3,3,3,3,3,2,2,20040224
2004,02,25,2,1,2,3,3,3,2,2,20040225
2004,02,26,1,1,1,2,2,3,2,1,20040226
2004,02,27,2,3,1,3,2,3,4,3,20040227
2004,02,28,2,3,5,4,3,4,3,3,20040228
2004,02,29,2,3,3,5,5,4,3,3,20040229
2004,03,01,3,2,4,3,4,4,3,4,20040301
2004,03,02,4,3,4,3,4,3,3,3,20040302
2004,03,03,3,2,2,5,4,3,4,2,20040303
2004,03,04,2,2,1,3,2,3,2,2,20040304
2004,03,05,2,1,2,2,0,2,3,2,20040305
2004,03,06,2,2,1,2,2,2,2,1,20040306
2004,03,07,1,1,2,2,2,3,1,2,20040307
2004,03,08,1,1,2,2,2,3,2,1,20040308
2004,03,09,1,2,3,3,4,4,4,5,20040309
2004,03,10,5,6,6,4,5,3,3,4,20040310
2004,03,11,4,4,4,3,4,4,5,3,20040311
2004,03,12,5,5,4,3,3,4,2,3,20040312
2004,03,13,3,1,4,3,4,4,2,2,20040313
2004,03,14,3,3,4,4,4,3,3,2,20040314
2004,03,15,4,3,2,3,3,3,3,2,20040315
2004,03,16,3,2,1,3,2,3,2,2,20040316
2004,03,17,1,2,1,2,2,3,2,1,20040317
2004,03,18,3,3,3,3,3,2,2,2,20040318
2004,03,19,2,3,0,2,2,2,2,2,20040319
2004,03,20,3,3,1,2,2,3,2,2,20040320
2004,03,21,3,3,3,4,3,2,3,2,20040321
2004,03,22,3,3,3,2,2,3,3,3,20040322
2004,03,23,3,3,2,2,2,2,3,1,20040323
2004,03,24,1,1,1,2,2,2,1,0,20040324
2004,03,25,1,1,1,2,2,3,2,2,20040325
2004,03,26,1,0,2,1,3,3,3,3,20040326
2004,03,27,3,1,2,3,3,4,3,4,20040327
2004,03,28,3,5,3,3,3,3,2,2,20040328
2004,03,29,2,3,3,3,3,3,3,2,20040329
2004,03,30,1,2,4,4,4,3,2,1,20040330
2004,03,31,1,2,3,1,3,2,3,2,20040331
2004,04,01,0,0,1,1,2,1,2,1,20040401
2004,04,02,1,0,0,1,1,2,1,1,20040402
2004,04,03,2,3,4,3,4,4,5,5,20040403
2004,04,04,5,3,2,1,2,2,1,3,20040404
2004,04,05,1,1,0,1,3,4,5,4,20040405
2004,04,06,4,4,4,4,4,2,3,2,20040406
2004,04,07,3,3,3,2,2,2,2,3,20040407
2004,04,08,2,4,4,4,3,3,2,2,20040408
2004,04,09,3,5,4,3,2,2,2,2,20040409
2004,04,10,3,3,3,2,2,2,3,3,20040410
2004,04,11,3,2,3,2,2,2,2,2,20040411
2004,04,12,3,2,4,3,2,2,3,1,20040412
2004,04,13,2,2,2,2,2,2,2,2,20040413
2004,04,14,2,1,1,0,3,2,2,1,20040414
2004,04,15,1,1,1,1,2,2,2,3,20040415
2004,04,16,2,3,4,3,2,3,3,2,20040416
2004,04,17,2,3,2,1,2,3,3,2,20040417
2004,04,18,1,2,4,2,3,3,3,2,20040418
2004,04,19,2,2,2,2,2,2,2,1,20040419
2004,04,20,1,1,1,2,2,2,1,2,20040420
2004,04,21,1,3,1,2,2,2,2,1,20040421
2004,04,22,0,0,2,1,2,2,1,1,20040422
2004,04,23,2,3,4,4,5,4,2,3,20040423
2004,04,24,1,2,3,4,3,3,1,2,20040424
2004,04,25,1,3,4,3,3,3,2,2,20040425
2004,04,26,2,1,3,1,2,2,2,2,20040426
2004,04,27,1,1,1,1,2,2,2,2,20040427
2004,04,28,1,0,2,1,2,3,4,2,20040428
2004,04,29,1,2,1,1,2,2,1,2,20040429
2004,04,30,2,3,3,1,2,3,3,4,20040430
2004,05,01,3,3,3,3,3,3,3,3,20040501
2004,05,02,3,1,0,2,2,2,2,2,20040502
2004,05,03,2,1,2,2,2,2,2,2,20040503
2004,05,04,2,3,3,2,3,2,2,3,20040504
2004,05,05,2,3,3,3,3,3,3,3,20040505
2004,05,06,2,2,3,2,2,2,3,2,20040506
2004,05,07,3,4,4,2,3,4,3,2,20040507
2004,05,08,3,3,2,2,3,3,3,2,20040508
2004,05,09,2,3,2,1,2,3,2,1,20040509
2004,05,10,1,2,2,1,2,2,3,3,20040510
2004,05,11,3,3,1,1,2,2,3,4,20040511
2004,05,12,3,4,2,2,2,2,3,2,20040512
2004,05,13,2,3,4,3,3,3,3,3,20040513
2004,05,14,2,3,1,1,3,2,2,2,20040514
2004,05,15,4,2,2,2,2,2,2,2,20040515
2004,05,16,2,2,1,1,2,1,1,2,20040516
2004,05,17,2,1,0,1,2,3,2,2,20040517
2004,05,18,1,1,1,2,2,1,1,1,20040518
2004,05,19,1,2,1,1,3,2,2,2,20040519
2004,05,20,2,2,3,5,2,2,3,3,20040520
2004,05,21,3,3,3,2,3,3,2,2,20040521
2004,05,22,2,3,4,3,3,2,2,2,20040522
2004,05,23,3,3,2,3,3,2,3,3,20040523
2004,05,24,3,2,4,3,3,2,2,2,20040524
2004,05,25,2,1,3,3,3,2,2,2,20040525
2004,05,26,1,1,2,1,3,3,2,2,20040526
2004,05,27,1,1,3,2,2,2,2,1,20040527
2004,05,28,2,0,1,2,3,3,3,3,20040528
2004,05,29,3,3,3,4,3,3,2,3,20040529
2004,05,30,3,2,1,4,3,3,3,4,20040530
2004,05,31,4,2,3,3,3,3,3,2,20040531
2004,06,01,3,3,4,3,3,3,3,3,20040601
2004,06,02,3,2,2,3,3,2,3,3,20040602
2004,06,03,3,3,3,1,2,2,2,2,20040603
2004,06,04,3,3,2,3,3,3,2,3,20040604
2004,06,05,3,3,1,3,3,3,3,3,20040605
2004,06,06,3,3,3,3,3,2,3,2,20040606
2004,06,07,3,1,2,2,3,2,2,3,20040607
2004,06,08,3,2,1,3,2,3,2,1,20040608
2004,06,09,3,3,3,4,3,3,3,3,20040609
2004,06,10,3,3,2,2,3,3,3,3,20040610
2004,06,11,3,2,3,3,2,3,2,2,20040611
2004,06,12,1,2,3,1,3,2,2,2,20040612
2004,06,13,1,0,1,1,2,2,2,2,20040613
2004,06,14,2,1,3,3,4,3,3,2,20040614
2004,06,15,2,1,5,3,4,3,3,3,20040615
2004,06,16,2,2,3,2,2,2,1,1,20040616
2004,06,17,1,3,2,2,2,2,3,2,20040617
2004,06,18,1,2,2,3,2,3,2,2,20040618
2004,06,19,2,2,2,2,2,2,2,1,20040619
2004,06,20,1,1,1,1,2,2,1,1,20040620
2004,06,21,1,2,1,2,2,1,1,1,20040621
2004,06,22,1,0,0,1,2,2,2,1,20040622
2004,06,23,1,0,1,1,2,3,2,2,20040623
2004,06,24,2,1,3,1,2,2,2,1,20040624
2004,06,25,0,0,0,1,2,2,3,1,20040625
2004,06,26,1,1,0,1,3,3,3,3,20040626
2004,06,27,2,1,1,2,2,2,2,2,20040627
2004,06,28,3,3,1,2,2,2,4,4,20040628
2004,06,29,4,4,4,3,3,3,4,3,20040629
2004,06,30,3,2,3,3,3,2,3,2,20040630
2004,07,01,3,3,3,3,3,3,3,2,20040701
2004,07,02,2,3,2,2,3,2,2,3,20040702
2004,07,03,2,1,2,3,3,3,3,1,20040703
2004,07,04,2,2,2,2,1,2,2,2,20040704
2004,07,05,2,2,0,1,2,2,3,3,20040705
2004,07,06,2,3,2,2,2,3,2,1,20040706
2004,07,07,1,2,1,1,2,2,1,1,20040707
2004,07,08,2,1,0,1,2,2,2,2,20040708
2004,07,09,1,2,2,0,2,3,2,1,20040709
2004,07,10,1,2,3,2,2,3,3,2,20040710
2004,07,11,3,2,1,3,3,2,3,4,20040711
2004,07,12,4,3,2,2,3,3,3,4,20040712
2004,07,13,4,3,4,2,2,3,3,3,20040713
2004,07,14,2,3,3,2,2,2,3,2,20040714
2004,07,15,2,1,1,1,2,3,3,4,20040715
2004,07,16,2,0,2,2,3,3,3,4,20040716
2004,07,17,6,4,5,3,3,3,3,2,20040717
2004,07,18,1,3,3,2,2,3,2,2,20040718
2004,07,19,1,3,2,3,2,3,3,3,20040719
2004,07,20,1,2,3,2,2,3,3,3,20040720
2004,07,21,2,1,2,1,1,3,2,2,20040721
2004,07,22,2,0,0,3,3,3,5,6,20040722
2004,07,23,5,6,6,6,5,5,3,2,20040723
2004,07,24,3,4,5,3,5,4,4,5,20040724
2004,07,25,6,7,7,8,6,7,6,7,20040725
2004,07,26,6,4,3,3,3,2,3,6,20040726
2004,07,27,8,7,8,8,9,7,5,5,20040727
2004,07,28,3,3,3,3,3,3,2,3,20040728
2004,07,29,2,3,3,2,2,3,2,2,20040729
2004,07,30,2,1,1,2,3,2,2,3,20040730
2004,07,31,2,2,2,2,3,3,3,3,20040731
2004,08,01,3,2,1,1,2,3,2,2,20040801
2004,08,02,2,1,3,3,2,2,2,3,20040802
2004,08,03,2,2,1,1,2,2,1,2,20040803
2004,08,04,1,0,0,1,2,2,2,1,20040804
2004,08,05,1,1,0,2,2,2,3,3,20040805
2004,08,06,3,1,1,1,2,2,3,3,20040806
2004,08,07,3,3,5,4,4,3,2,3,20040807
2004,08,08,2,2,1,0,2,2,2,2,20040808
2004,08,09,2,2,4,3,2,3,3,4,20040809
2004,08,10,4,1,2,2,3,4,3,3,20040810
2004,08,11,2,2,3,4,3,3,3,3,20040811
2004,08,12,3,2,2,2,3,3,2,3,20040812
2004,08,13,2,2,2,1,3,2,3,3,20040813
2004,08,14,3,1,2,3,3,3,2,2,20040814
2004,08,15,2,1,1,2,3,3,2,2,20040815
2004,08,16,2,1,1,2,3,3,2,3,20040816
2004,08,17,3,1,1,2,3,3,4,3,20040817
2004,08,18,3,2,4,3,3,3,3,3,20040818
2004,08,19,3,1,0,2,2,3,2,2,20040819
2004,08,20,3,3,3,4,3,3,3,3,20040820
2004,08,21,3,4,4,3,3,3,3,3,20040821
2004,08,22,3,3,4,4,3,3,2,2,20040822
2004,08,23,2,2,2,2,2,3,2,2,20040823
2004,08,24,2,1,1,1,2,2,2,2,20040824
2004,08,25,1,2,1,2,3,2,2,2,20040825
2004,08,26,2,1,1,1,2,3,3,3,20040826
2004,08,27,3,1,1,2,2,3,2,3,20040827
2004,08,28,2,3,4,3,3,3,3,2,20040828
2004,08,29,2,2,0,2,2,3,3,3,20040829
2004,08,30,3,2,5,5,5,4,4,5,20040830
2004,08,31,6,4,5,4,3,3,4,3,20040831
2004,09,01,3,1,2,2,2,3,3,3,20040901
2004,09,02,2,2,3,3,2,2,2,3,20040902
2004,09,03,2,1,1,0,1,2,1,1,20040903
2004,09,04,1,1,0,1,2,1,2,1,20040904
2004,09,05,1,1,2,2,2,3,3,2,20040905
2004,09,06,2,2,4,4,3,3,2,3,20040906
2004,09,07,3,4,4,4,3,3,2,2,20040907
2004,09,08,2,3,4,2,3,2,2,2,20040908
2004,09,09,1,1,0,1,2,1,2,2,20040909
2004,09,10,2,1,1,2,2,2,2,2,20040910
2004,09,11,2,0,0,1,3,2,3,2,20040911
2004,09,12,1,1,0,0,2,2,2,2,20040912
2004,09,13,2,1,0,1,2,2,3,4,20040913
2004,09,14,4,4,4,5,4,3,4,4,20040914
2004,09,15,4,3,2,3,3,3,3,2,20040915
2004,09,16,3,3,4,4,4,3,3,3,20040916
2004,09,17,5,4,4,3,3,3,3,4,20040917
2004,09,18,5,5,1,3,3,2,1,2,20040918
2004,09,19,1,1,1,1,2,2,2,3,20040919
2004,09,20,3,1,4,3,3,2,2,2,20040920
2004,09,21,2,3,3,2,2,2,2,2,20040921
2004,09,22,1,1,3,3,5,4,4,3,20040922
2004,09,23,4,4,2,2,2,2,2,2,20040923
2004,09,24,3,2,1,2,2,2,2,2,20040924
2004,09,25,0,1,0,2,2,3,2,2,20040925
2004,09,26,1,1,2,1,1,2,2,2,20040926
2004,09,27,1,1,0,1,2,2,3,1,20040927
2004,09,28,2,2,3,2,1,1,2,3,20040928
2004,09,29,2,1,0,1,2,2,2,2,20040929
2004,09,30,2,1,0,0,1,2,2,2,20040930
2004,10,01,1,1,1,0,1,2,2,2,20041001
2004,10,02,2,3,3,3,4,3,2,2,20041002
2004,10,03,1,2,3,4,4,3,3,3,20041003
2004,10,04,3,3,2,2,2,2,3,3,20041004
2004,10,05,2,2,2,0,1,2,2,2,20041005
2004,10,06,1,2,2,2,2,2,2,2,20041006
2004,10,07,1,2,1,1,2,2,2,2,20041007
2004,10,08,1,3,2,1,2,2,1,3,20041008
2004,10,09,3,1,0,1,1,2,2,2,20041009
2004,10,10,3,3,0,3,2,2,2,2,20041010
2004,10,11,3,3,2,1,3,3,2,3,20041011
2004,10,12,3,3,3,3,2,2,2,3,20041012
2004,10,13,4,5,5,4,5,4,3,3,20041013
2004,10,14,3,4,4,5,5,3,3,2,20041014
2004,10,15,2,3,1,3,2,2,2,2,20041015
2004,10,16,3,1,1,1,1,1,1,1,20041016
